鵑,-1,-1,15000,名詞,サ変接続,*,*,*,*,鵑,ケン,ケン,0/2,C0
習,-1,-1,15000,名詞,サ変接続,*,*,*,*,習,シュー,シュー,0/3,C0
晗,-1,-1,15000,名詞,サ変接続,*,*,*,*,晗,カン,カン,0/2,C0
灣,-1,-1,15000,名詞,サ変接続,*,*,*,*,灣,ワン,ワン,0/2,C0
繧,-1,-1,15000,名詞,サ変接続,*,*,*,*,繧,ウン,ウン,0/2,C0
鷦,-1,-1,15000,名詞,サ変接続,*,*,*,*,鷦,ショー,ショー,0/3,C0
陷,-1,-1,15000,名詞,サ変接続,*,*,*,*,陷,カン,カン,0/2,C0
㎏,-1,-1,15000,名詞,サ変接続,*,*,*,*,㎏,キログラム,キログラム,0/5,C0
搖,-1,-1,15000,名詞,サ変接続,*,*,*,*,搖,ヨー,ヨー,0/2,C0
戚,-1,-1,15000,名詞,サ変接続,*,*,*,*,戚,セキ,セキ,0/2,C0
瘢,-1,-1,15000,名詞,サ変接続,*,*,*,*,瘢,ハン,ハン,0/2,C0
斫,-1,-1,15000,名詞,サ変接続,*,*,*,*,斫,シャク,シャク,0/3,C0
飯,-1,-1,15000,名詞,サ変接続,*,*,*,*,飯,ハン,ハン,0/2,C0
鐶,-1,-1,15000,名詞,サ変接続,*,*,*,*,鐶,カン,カン,0/2,C0
鈺,-1,-1,15000,名詞,サ変接続,*,*,*,*,鈺,ギョク,ギョク,0/3,C0
弼,-1,-1,15000,名詞,サ変接続,*,*,*,*,弼,ヒツ,ヒツ,0/2,C0
♂,-1,-1,15000,名詞,サ変接続,*,*,*,*,♂,ダンセイ,ダンセイ,0/4,C0
轜,-1,-1,15000,名詞,サ変接続,*,*,*,*,轜,ジ,ジ,0/1,C0
婪,-1,-1,15000,名詞,サ変接続,*,*,*,*,婪,ラン,ラン,0/2,C0
湲,-1,-1,15000,名詞,サ変接続,*,*,*,*,湲,エン,エン,0/2,C0
黽,-1,-1,15000,名詞,サ変接続,*,*,*,*,黽,ボー,ボー,0/2,C0
愃,-1,-1,15000,名詞,サ変接続,*,*,*,*,愃,ケン,ケン,0/2,C0
⠉,-1,-1,15000,名詞,サ変接続,*,*,*,*,⠉,イチヨンノテン,イチヨンノテン,0/7,C0
嶐,-1,-1,15000,名詞,サ変接続,*,*,*,*,嶐,リュー,リュー,0/3,C0
麒,-1,-1,15000,名詞,サ変接続,*,*,*,*,麒,キ,キ,0/1,C0
憘,-1,-1,15000,名詞,サ変接続,*,*,*,*,憘,キ,キ,0/1,C0
⢞,-1,-1,15000,名詞,サ変接続,*,*,*,*,⢞,ニーサンヨンゴーハチノテン,ニーサンヨンゴーハチノテン,0/13,C0
┫,-1,-1,15000,名詞,サ変接続,*,*,*,*,┫,ヒダリフトタテフト,ヒダリフトタテフト,0/9,C0
醸,-1,-1,15000,名詞,サ変接続,*,*,*,*,醸,ジョー,ジョー,0/3,C0
墾,-1,-1,15000,名詞,サ変接続,*,*,*,*,墾,コン,コン,0/2,C0
с,-1,-1,15000,名詞,サ変接続,*,*,*,*,с,エスゴ,エスゴ,0/3,C0
佇,-1,-1,15000,名詞,サ変接続,*,*,*,*,佇,テイ,テイ,0/2,C0
奓,-1,-1,15000,名詞,サ変接続,*,*,*,*,奓,タ,タ,0/1,C0
蓖,-1,-1,15000,名詞,サ変接続,*,*,*,*,蓖,ヒ,ヒ,0/1,C0
歟,-1,-1,15000,名詞,サ変接続,*,*,*,*,歟,ヨ,ヨ,0/1,C0
姨,-1,-1,15000,名詞,サ変接続,*,*,*,*,姨,イ,イ,0/1,C0
蕫,-1,-1,15000,名詞,サ変接続,*,*,*,*,蕫,トー,トー,0/2,C0
柬,-1,-1,15000,名詞,サ変接続,*,*,*,*,柬,カン,カン,0/2,C0
⊃,-1,-1,15000,名詞,サ変接続,*,*,*,*,⊃,シンブオフクム,シンブオフクム,0/7,C0
殉,-1,-1,15000,名詞,サ変接続,*,*,*,*,殉,ジュン,ジュン,0/3,C0
朖,-1,-1,15000,名詞,サ変接続,*,*,*,*,朖,ロー,ロー,0/2,C0
些,-1,-1,15000,名詞,サ変接続,*,*,*,*,些,サ,サ,0/1,C0
暫,-1,-1,15000,名詞,サ変接続,*,*,*,*,暫,ザン,ザン,0/2,C0
礪,-1,-1,15000,名詞,サ変接続,*,*,*,*,礪,レイ,レイ,0/2,C0
檳,-1,-1,15000,名詞,サ変接続,*,*,*,*,檳,ビン,ビン,0/2,C0
╂,-1,-1,15000,名詞,サ変接続,*,*,*,*,╂,ヨコホソタテフト,ヨコホソタテフト,0/8,C0
橈,-1,-1,15000,名詞,サ変接続,*,*,*,*,橈,ドー,ドー,0/2,C0
雋,-1,-1,15000,名詞,サ変接続,*,*,*,*,雋,シュン,シュン,0/3,C0
